YBX1 RPL36A
YBX1 RPS24
YBX1 TOP1
YBX1 RPL29
YBX1 RPL13A
YBX1 MAP3K14
YBX1 SRSF10
YBX1 VDAC3
YBX1 UBB
YBX1 RPS11
YBX1 RPS18
YBX1 RPL39
YBX1 VDAC2
YBX1 RPL38
YBX1 RPL27A
YBX1 RPLP2
YBX1 DHX15
YBX1 ZNF326
YBX1 EIF4A3
YBX1 RPS19
YBX1 SNRNP25
YBX1 HNRNPM
YBX1 DDX3X
YBX1 RPL35
YBX1 RPS29
YBX1 MAPK13
YBX1 HSP90AA1
YBX1 SRPK1
YBX1 RPL36
YBX1 PITX2
YBX1 RPL37A
YBX1 DDX21
YBX1 YBX1
YBX1 SCYL2
YBX1 RPL28
TCERG1 CDC5L
TCERG1 POLR2A
TCERG1 HSPA5
TCERG1 SNRNP70
TCERG1 SFPQ
TCERG1 HNRNPM
TCERG1 SNRNP27
TCERG1 SRSF2
TCERG1 CDK12
TCERG1 TRA2B
TCERG1 PAXBP1
TCERG1 ACIN1
TCERG1 RBM39
TCERG1 DDX23
TCERG1 LSM7
TCERG1 LUC7L3
TCERG1 LUC7L
TCERG1 SRRM2
TCERG1 SRSF5
TCERG1 DHX15
TCERG1 BUD31
TCERG1 SNW1
TCERG1 EIF4A3
TCERG1 SRRT
TCERG1 DDX3X
TCERG1 SMNDC1
TCERG1 SRRM1
TCERG1 DHX16
TCERG1 PRPF18
TCERG1 PRPF4B
TCERG1 CRNKL1
TCERG1 SRSF6
TCERG1 SPEN
TCERG1 DDX39B
IFRD1 HDAC1
IFRD1 PIP5K1B
ATF3 MDM2
ATF3 HDAC1
ATF3 JUN
ATF3 HDAC6
ATF3 SMAD3
ATF3 ATF4
ATF3 JUND
ATF3 DDIT3
ATF3 FHL2
ATF3 FGFR3
ATF3 ATF3
ATF3 ID3
ATF3 IGSF21
ATF3 CEBPG
MID1 FKBP1A
MID1 UBE2K
MID1 CDC37
MID1 IGBP1
MID1 EPN2
MID1 KIF9
MID1 EPN3
MID1 MID1
TICAM1 IRF3
TICAM1 TRAF2
TICAM1 TRAF4
TICAM1 IRF7
TICAM1 RIPK3
TICAM1 TLR3
PYY NPY1R
PYY NPY2R
MUC4 ERBB2
